Authors,Title,Year,Source title,Link,Affiliations,Authors with affiliations,Abstract
"Countryman C.E., Steinberg D.K., Burd A.B.","Modelling the effects of copepod diel vertical migration and community structure on ocean carbon flux using an agent-based model",2022,"Ecological Modelling","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130905666&doi=10.1016%2fj.ecolmodel.2022.110003&partnerID=40&md5=e73c41eb41d209cb0dd1743de787f914","Department of Marine Sciences, University of Georgia, Athens, GA, United States; Department of Biological Sciences, Virginia Institute of Marine Science, William & Mary, Gloucester Point, VA, United States","Countryman, C.E., Department of Marine Sciences, University of Georgia, Athens, GA, United States; Steinberg, D.K., Department of Biological Sciences, Virginia Institute of Marine Science, William & Mary, Gloucester Point, VA, United States; Burd, A.B., Department of Marine Sciences, University of Georgia, Athens, GA, United States","Fecal pellets are a significant component of total particulate organic carbon (POC) flux in the ocean and a key component of the biological pump. The effect of copepod community structure, feeding behavior, and diel vertical migration (DVM) on fecal pellet carbon flux was investigated using an agent-based model, which was applied to two contrasting open ocean regions: an oligotrophic (Hawaii Ocean Time-series site ALOHA) and a mesotrophic (Japanese time-series site K2) system. Data from the VERtical Transport in the Global Ocean (VERTIGO) project was used to parameterize the model, and modelled fecal pellet fluxes were compared to field-derived neutrally buoyant sediment trap data to examine how community structure and DVM impact fecal pellet carbon flux in the water column. The model produces copepod fecal pellet fluxes that are consistent with sediment trap data from K2 and ALOHA and with other modeling studies. The vertical distribution of copepods matching nighttime field data resulted in a greater magnitude of fecal pellet flux at all model depths compared to daytime distributions. Communities dominated by omnivores resulted in higher fecal pellet carbon flux and lower POC attenuation than those dominated by carnivores or detritivores. Incorporating DVM into the simulations produced lower fecal pellet fluxes in some cases, while also marginally improving the agreement between the modeled and observed median fecal pellet fluxes. The relatively simplified model presented here shows that an agent-based model that uses trait-based relationships for physiological rates can be used to give insight into the variability of particle flux in the deep ocean. © 2022"
"Akopov A.S., Beklaryan L.A., Beklaryan A.L.","Multisector Bounded-Neighborhood Model: Agent Segregation and Optimization of Environment’s Characteristics",2022,"Mathematical Models and Computer Simulations","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130956271&doi=10.1134%2fS2070048222030024&partnerID=40&md5=013dc49915ad22319e86018f90ab6404","Central Economics and Mathematics Institute, Russian Academy of Sciences, Moscow, Russian Federation; National Research University Higher School of Economics, Moscow, Russian Federation","Akopov, A.S., Central Economics and Mathematics Institute, Russian Academy of Sciences, Moscow, Russian Federation, National Research University Higher School of Economics, Moscow, Russian Federation; Beklaryan, L.A., Central Economics and Mathematics Institute, Russian Academy of Sciences, Moscow, Russian Federation; Beklaryan, A.L., National Research University Higher School of Economics, Moscow, Russian Federation","Abstract: An approach is presented to study the effects of segregation using the developed multisector bounded-neighborhood model. A model of the evolutionary dynamics of a community consisting of local (indigenous) and external (migrants) populations interacting in an artificial socioeconomic system is proposed, in which the key sectors of the economy are identified: the extraction of raw materials (primary sector, attracting mainly migrants), the manufacturing sector (secondary sector attracting predominantly indigenous people), and low-tech and high-tech services (tertiary and quaternary sectors of the economy attracting migrants and indigenous people, respectively). The formation of jobs in these sectors of the economy is carried out centrally using the previously proposed fuzzy clustering algorithm. Simulation experiments are carried out, and the effects of segregation due to the desire of agents to search for the most desirable jobs in a bounded neighborhood under various scenario conditions are studied. Using the proposed genetic algorithm, an important optimization problem is solved to maximize GDP growth rates and minimize the level of the population’s segregation. © 2022, Pleiades Publishing, Ltd."
"Zhang Q., Sannigrahi S., Bilintoh T.M., Zhang R., Xiong B., Tao S., Bilsborrow R., Song C.","Understanding human-environment interrelationships under constrained land-use decisions with a spatially explicit agent-based model",2022,"Anthropocene","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129542263&doi=10.1016%2fj.ancene.2022.100337&partnerID=40&md5=91ff26f0863ea398a5e2b2e39d22dd70","Department of Geography, University of North Carolina at Chapel Hill, Chapel Hill, NC  27599, United States; School of Architecture, Planning and Environmental Policy, University College Dublin, Richview, Clonskeagh, Dublin, D14 E099, Ireland; Graduate School of Geography, Clark University, Worcester, MA  01610, United States; Department of Geography, Environment, and Spatial Sciences, Michigan State University, East Lansing, MI  48824, United States; School of Geographical Sciences, East China Normal University, Shanghai, 200241, China; Carolina Population Center, University of North Carolina at Chapel Hill, Chapel Hill, NC  27516, United States","Zhang, Q., Department of Geography, University of North Carolina at Chapel Hill, Chapel Hill, NC  27599, United States; Sannigrahi, S., School of Architecture, Planning and Environmental Policy, University College Dublin, Richview, Clonskeagh, Dublin, D14 E099, Ireland; Bilintoh, T.M., Graduate School of Geography, Clark University, Worcester, MA  01610, United States; Zhang, R., Department of Geography, Environment, and Spatial Sciences, Michigan State University, East Lansing, MI  48824, United States; Xiong, B., School of Geographical Sciences, East China Normal University, Shanghai, 200241, China; Tao, S., Graduate School of Geography, Clark University, Worcester, MA  01610, United States; Bilsborrow, R., Department of Geography, University of North Carolina at Chapel Hill, Chapel Hill, NC  27599, United States, Carolina Population Center, University of North Carolina at Chapel Hill, Chapel Hill, NC  27516, United States; Song, C., Department of Geography, University of North Carolina at Chapel Hill, Chapel Hill, NC  27599, United States, Carolina Population Center, University of North Carolina at Chapel Hill, Chapel Hill, NC  27516, United States","Human-environment interactions drive the land-use dynamics of the terrestrial surface. Worldwide, land-based environmental conservation efforts and agricultural preservation regulations are often concurrent. Complex social-ecological feedback within the coupled natural and human systems nevertheless confounds their effects. Drawing on population-level data for a township encompassed by a national nature reserve, this study applies a spatially explicit agent-based model to understand human-environment interrelationships with household land-use decisions about cropland abandonment restricted by the agricultural preservation rule. Results show that labor migration and cropland abandonment involve feedback loops that exhibit nonlinear effects. The availability of household labor and the amount of cultivated land mediate these effects. The land-use decisions of the farm households are sensitive to the relaxation of the abandonment restriction. The prevalence of cropland abandonment in extent and size increases prominently as the restriction rule begins to relax. The model shows a clearly emerging spatial pattern of an increasing likelihood of cropland abandonment with the relaxed restriction. Abandonment is more likely on dryland parcels and parcels at higher elevations, steeper slopes, and in proximity to forest areas. The shifted distributions of cropland parcels by their biophysical and geographical features from the baseline scenario (full restriction) to the experimental scenario (complete relaxation) also demonstrate these trends. Targeting cropland parcels bearing high risks of abandonment can improve the cost-effectiveness of implementing forest restoration policies while prioritizing those with low risks for agricultural stabilization. The agent-based model is useful for explaining the underlying drivers of land change involving human decision-making. It also suggests implications for balancing trade-offs between environmental conservation and agricultural production. © 2022 Elsevier Ltd"
"Ciocanel M.-V., Chandrasekaran A., Mager C., Ni Q., Papoian G.A., Dawes A.","Simulated actin reorganization mediated by motor proteins",2022,"PLoS Computational Biology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128156145&doi=10.1371%2fjournal.pcbi.1010026&partnerID=40&md5=54a7efbafa59c5b082cb919d8487fea2","Department of Mathematics and Biology, Duke University, Durham, NC, United States; Department of Mechanical and Aerospace Engineering, University of California San Diego, La JollaCA, United States; Department of Biochemistry, The Ohio State University, Columbus, OH, United States; Department of Chemical and Biomolecular Engineering, University of Maryland, College Park, MD, United States; Department of Chemistry and Biochemistry, Institute for Physical Science and Technology, University of Maryland, College Park, MD, United States; Department of Mathematics, Department of Molecular Genetics, The Ohio State University, Columbus, OH, United States","Ciocanel, M.-V., Department of Mathematics and Biology, Duke University, Durham, NC, United States; Chandrasekaran, A., Department of Mechanical and Aerospace Engineering, University of California San Diego, La JollaCA, United States; Mager, C., Department of Biochemistry, The Ohio State University, Columbus, OH, United States; Ni, Q., Department of Chemical and Biomolecular Engineering, University of Maryland, College Park, MD, United States; Papoian, G.A., Department of Chemistry and Biochemistry, Institute for Physical Science and Technology, University of Maryland, College Park, MD, United States; Dawes, A., Department of Mathematics, Department of Molecular Genetics, The Ohio State University, Columbus, OH, United States","Cortical actin networks are highly dynamic and play critical roles in shaping the mechanical properties of cells. The actin cytoskeleton undergoes significant reorganization in many different contexts, including during directed cell migration and over the course of the cell cycle, when cortical actin can transition between different configurations such as open patched meshworks, homogeneous distributions, and aligned bundles. Several types of myosin motor proteins, characterized by different kinetic parameters, have been involved in this reorganization of actin filaments. Given the limitations in studying the interactions of actin with myosin in vivo, we propose stochastic agent-based models and develop a set of data analysis measures to assess how myosin motor proteins mediate various actin organizations. In particular, we identify individual motor parameters, such as motor binding rate and step size, that generate actin networks with different levels of contractility and different patterns of myosin motor localization, which have previously been observed experimentally. In simulations where two motor populations with distinct kinetic parameters interact with the same actin network, we find that motors may act in a complementary way, by tuning the actin network organization, or in an antagonistic way, where one motor emerges as dominant. This modeling and data analysis framework also uncovers parameter regimes where spatial segregation between motor populations is achieved. By allowing for changes in kinetic rates during the actin-myosin dynamic simulations, our work suggests that certain actin-myosin organizations may require additional regulation beyond mediation by motor proteins in order to reconfigure the cytoskeleton network on experimentally-observed timescales. Copyright: © 2022 Ciocanel et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited."
"Sadhukhan S., Mishra P.K.","A multi-layered hybrid model for cancer cell invasion",2022,"Medical and Biological Engineering and Computing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125374251&doi=10.1007%2fs11517-022-02514-2&partnerID=40&md5=d830f44bf24ca8b72a94672d7a08fbb7","Department of Computer Science, Institute of Science, Banaras Hindu University, Varanasi, 221005, India","Sadhukhan, S., Department of Computer Science, Institute of Science, Banaras Hindu University, Varanasi, 221005, India; Mishra, P.K., Department of Computer Science, Institute of Science, Banaras Hindu University, Varanasi, 221005, India","In this article, a hybrid model is developed based on multi-scale concept for solid tumour cell invasion into a healthy tissue. Our aim is to study the tumour heterogeneity due to the geometry of a growing tumour caused by the phenotypic transformations of cells. In this context, an early vascular growth is considered after angiogenesis. Hence, the microenvironment of the solid tumour is rich of oxygen and nutrients. It is also considered that epidermal growth factor (EGF) is distributed into the surrounding extracellular matrix (ECM) of the tumour. The developed multi-layered model consists of three layers: intracellular or subcellular, cellular, and extracellular or tissue layer. The model integrates the events that occur simultaneously in these three layers to identify the underlying diversity. Here, every cell is represented as an agent. Characteristics of an agent are controlled by its intracellular protein expressions and its surrounding microenvironment. A mature proliferative or migratory or hybrid cell agent spawn two indistinguishable children unless it may convert into other phenotype due to influence of the microenvironment. Further, a simple cell cycle model is adapted which is influenced by EGF-EGFR signalling pathway and the external oxygen and nutrients. Moreover, migratory and hybrid cells secrete several matrix degrading enzymes (MDEs) which remodel the ECM for tumour invasion locally. Several biomechanical forces are considered that simultaneously act on the cancer cells. The outcome of the model is very similar to the results reported in earlier studies. The model shows the characteristics of cancer invasion that include sustainable proliferation by ignoring growth suppressor signals and reproduction of cancer cells at abnormal proportion, restrict apoptosis, and invade into the surrounding tissue. As the simulation parameters get modified due to different biochemical and biophysical processes, the robustness of the model is determined. It is found that only a number of proliferative cells are moderately sensitive to the parameters and others are less-sensitive. Graphical abstract: [Figure not available: see fulltext.] © 2022, International Federation for Medical and Biological Engineering."
"Sandhu R., Tripp C., Quon E., Thedin R., Lawson M., Brandes D., Farmer C.J., Miller T.A., Draxl C., Doubrawa P., Williams L., Duerr A.E., Braham M.A., Katzner T.","Stochastic agent-based model for predicting turbine-scale raptor movements during updraft-subsidized directional flights",2022,"Ecological Modelling","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123789107&doi=10.1016%2fj.ecolmodel.2022.109876&partnerID=40&md5=623199b7522267393831205350f4cdaf","National Wind Technology Center, National Renewable Energy Laboratory, Golden, CO  80401, United States; Computational Science Center, National Renewable Energy Laboratory, Golden, CO  80401, United States; Western EcoSystems Technology, Cheyenne, WY  82001, United States; U.S. Geological Survey, Boise, ID  83706, United States; Conservation Science Global, Cape MayNJ  08204, United States; Division of Forestry and Natural Resources, West Virginia University, Morgantown, WV  26506, United States; Department of Civil and Environmental Engineering, Lafayette College, Easton, PA  18042, United States","Sandhu, R., National Wind Technology Center, National Renewable Energy Laboratory, Golden, CO  80401, United States; Tripp, C., Computational Science Center, National Renewable Energy Laboratory, Golden, CO  80401, United States; Quon, E., National Wind Technology Center, National Renewable Energy Laboratory, Golden, CO  80401, United States; Thedin, R., National Wind Technology Center, National Renewable Energy Laboratory, Golden, CO  80401, United States; Lawson, M., National Wind Technology Center, National Renewable Energy Laboratory, Golden, CO  80401, United States; Brandes, D., Department of Civil and Environmental Engineering, Lafayette College, Easton, PA  18042, United States; Farmer, C.J., Western EcoSystems Technology, Cheyenne, WY  82001, United States; Miller, T.A., Conservation Science Global, Cape MayNJ  08204, United States, Division of Forestry and Natural Resources, West Virginia University, Morgantown, WV  26506, United States; Draxl, C., National Wind Technology Center, National Renewable Energy Laboratory, Golden, CO  80401, United States; Doubrawa, P., National Wind Technology Center, National Renewable Energy Laboratory, Golden, CO  80401, United States; Williams, L., Computational Science Center, National Renewable Energy Laboratory, Golden, CO  80401, United States; Duerr, A.E., Conservation Science Global, Cape MayNJ  08204, United States, Division of Forestry and Natural Resources, West Virginia University, Morgantown, WV  26506, United States; Braham, M.A., Conservation Science Global, Cape MayNJ  08204, United States; Katzner, T., U.S. Geological Survey, Boise, ID  83706, United States","Rapid expansion of wind energy development across the world has highlighted the need to better understand turbine-caused avian mortality. The risk to golden eagles (Aquila chrysaetos) is of particular concern due to their small population size and conservation status. Golden eagles subsidize their flight in part by soaring in orographic updrafts, which can place them in conflict with wind turbines utilizing the same low-altitude wind resource. Understanding the behavior of soaring raptors in varying atmospheric conditions can therefore be relevant to predicting and mitigating their risk of collision. We present a predictive movement model that simulates individual paths of golden eagles during directional flight (such as migration) that is subsidized by orographic updraft. We modeled eagles in a 50 km by 50 km study area in Wyoming containing three wind power plants with documented golden eagle collisions with turbines. The movement model is applicable to any region where ground elevation is known at turbine scale (<50 m) and wind conditions are known at facility scale (<3 km). For a given set of atmospheric conditions, the model simulates movements of thousands of orographic soaring eagles to produce a density map quantifying the relative probability of eagle presence. We validated the simulated tracks with GPS telemetry data showing four directional tracks made by golden eagles transiting through the area in 2019 and 2020. For each eagle track, validation was performed using the ratio of the model-simulated eagle presence likelihood with uniform eagle presence and the presence computed using directed random-walk movements. We found that the predictive performance of the model was significantly better (likelihood ratio >1) for low-altitude movements than high-altitude movements that can involve thermal-soaring. We employed the model to produce seasonal presence maps for migrating golden eagles. We found significant turbine-level variations in eagle presence between northerly and southerly migration routes through the study area. Overall, the proposed model offers a generalizable, probabilistic, and predictive tool to assist wind energy developers, ecologists, wildlife managers, and industry consultants in estimating the potential for conflict between soaring birds and wind turbines, thereby reducing the need for site-specific data on golden eagle movements. © 2022 Elsevier B.V."
"Gursoy F., Badur B.","An Agent-Based Modeling Approach to Brain Drain",2022,"IEEE Transactions on Computational Social Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103304708&doi=10.1109%2fTCSS.2021.3066074&partnerID=40&md5=a966811016c0bc120a25e1d3ea5314f7","Department of Management Information Systems, Boǧaziçi University, Istanbul, 34342, Turkey","Gursoy, F., Department of Management Information Systems, Boǧaziçi University, Istanbul, 34342, Turkey; Badur, B., Department of Management Information Systems, Boǧaziçi University, Istanbul, 34342, Turkey","The phenomenon of brain drain, which is the emigration of highly skilled people, has many undesirable effects, particularly for developing countries. In this study, an agent-based model is developed to understand the dynamics of such emigration. We hypothesize that skilled people's emigration decisions are based on several factors including the overall economic and social difference between the home and host countries, people's ability and capacity to obtain good jobs and start a life abroad, and the barriers of moving abroad. Furthermore, the social network of individuals also plays a significant role. The model is validated using qualitative and quantitative pattern matching with real-world observations. Sensitivity and uncertainty analyses are performed in addition to several scenario analyses. Linear and random forest response surface models are created to provide quick predictions on the number of emigrants and to understand the effect sizes of individual parameters. Overall, this study provides an abstract model where brain drain dynamics can be explored. Findings from the simulation outputs show that the future socioeconomic state of the country is more important than the current state, lack of barriers results in a large number of emigrants, and network effects ensure compounding effects on emigration. Upon further development and customization, future versions can assist in the decision-making of social policymakers regarding brain drain. © 2014 IEEE."
"Feiner N., Brun-Usan M., Andrade P., Pranter R., Park S., Menke D.B., Geneva A.J., Uller T.","A single locus regulates a female-limited color pattern polymorphism in a reptile",2022,"Science Advances","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126076124&doi=10.1126%2fsciadv.abm2387&partnerID=40&md5=d6b05faab166bed979aa5dff6c5a18f8","Department of Biology, Lund University, Lund, Sweden; CIBIO/InBIO Research Centre in Biodiversity and Genetic Resources, University of Porto, Campus Agrário de Vairão, Vairao, Portugal; BIOPOLIS Program in Genomics, Biodiversity and Land Planning, CIBIO, Campus de Vairão, Vairao, Portugal; Department of Genetics, University of Georgia, Athens, GA, United States; Department of Biology, Center for Computational and Integrative Biology, Rutgers University-Camden, Camden, NJ, United States","Feiner, N., Department of Biology, Lund University, Lund, Sweden; Brun-Usan, M., Department of Biology, Lund University, Lund, Sweden; Andrade, P., CIBIO/InBIO Research Centre in Biodiversity and Genetic Resources, University of Porto, Campus Agrário de Vairão, Vairao, Portugal, BIOPOLIS Program in Genomics, Biodiversity and Land Planning, CIBIO, Campus de Vairão, Vairao, Portugal; Pranter, R., Department of Biology, Lund University, Lund, Sweden; Park, S., Department of Genetics, University of Georgia, Athens, GA, United States; Menke, D.B., Department of Genetics, University of Georgia, Athens, GA, United States; Geneva, A.J., Department of Biology, Center for Computational and Integrative Biology, Rutgers University-Camden, Camden, NJ, United States; Uller, T., Department of Biology, Lund University, Lund, Sweden","Animal coloration is often expressed in periodic patterns that can arise from differential cell migration, yet how these processes are regulated remains elusive. We show that a female-limited polymorphism in dorsal patterning (diamond/chevron) in the brown anole is controlled by a single Mendelian locus. This locus contains the gene CCDC170 that is adjacent to, and coexpressed with, the Estrogen receptor-1 gene, explaining why the polymorphism is female limited. CCDC170 is an organizer of the Golgi-microtubule network underlying a cell's ability to migrate, and the two segregating alleles encode structurally different proteins. Our agent-based modeling of skin development demonstrates that, in principle, a change in cell migratory behaviors is sufficient to switch between the two morphs. These results suggest that CCDC170 might have been co-opted as a switch between color patterning morphs, likely by modulating cell migratory behaviors. Copyright © 2022 The Authors"
"Steffens B., Corlay Q., Suurmeyer N., Noglows J., Arnold D., Demyanov V.","Can Agents Model Hydrocarbon Migration for Petroleum System Analysis? A Fast Screening Tool to De‐Risk Hydrocarbon Prospects",2022,"Energies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123633383&doi=10.3390%2fen15030902&partnerID=40&md5=9cc40a6e0ced78a6549c33c7f9c543bd","Institute of GeoEnergy Engineering (IGE), Heriot‐Watt University, Edinburgh, EH14 4AS, United Kingdom; Studio X LLC, Austin, TX  78702, United States","Steffens, B., Institute of GeoEnergy Engineering (IGE), Heriot‐Watt University, Edinburgh, EH14 4AS, United Kingdom; Corlay, Q., Institute of GeoEnergy Engineering (IGE), Heriot‐Watt University, Edinburgh, EH14 4AS, United Kingdom; Suurmeyer, N., Studio X LLC, Austin, TX  78702, United States; Noglows, J., Studio X LLC, Austin, TX  78702, United States; Arnold, D., Institute of GeoEnergy Engineering (IGE), Heriot‐Watt University, Edinburgh, EH14 4AS, United Kingdom; Demyanov, V., Institute of GeoEnergy Engineering (IGE), Heriot‐Watt University, Edinburgh, EH14 4AS, United Kingdom","Understanding subsurface hydrocarbon migration is a crucial task for petroleum geosci-entists. Hydrocarbons are released from deeply buried and heated source rocks, such as shales with a high organic content. They then migrate upwards through the overlying lithologies. Some hydrocarbon becomes trapped in suitable geological structures that, over a geological timescale, produce viable hydrocarbon reservoirs. This work investigates how intelligent agent models can mimic these complex natural subsurface processes and account for geological uncertainty. Phys-ics‐based approaches are commonly used in petroleum system modelling and flow simulation software to identify migration pathways from source rocks to traps. However, the problem with these simulations is that they are computationally demanding, making them infeasible for exten-sive uncertainty quantification. In this work, we present a novel dynamic screening tool for secondary hydrocarbon migration that relies on agent‐based modelling. It is fast and is therefore suitable for uncertainty quantification, before using petroleum system modelling software for a more accurate evaluation of migration scenarios. We first illustrate how interacting but independent agents can mimic the movement of hydrocarbon molecules using a few simple rules by focusing on the main drivers of migration: buoyancy and capillary forces. Then, using a synthetic case study, we validate the usefulness of the agent modelling approach to quantify the impact of geological parameter uncertainty (e.g., fault transmissibility, source rock location, expulsion rate) on potential hydrocarbon accumulations and migrations pathways, an essential task to enable quick de‐risking of a likely prospect. © 2022 by the authors. Licensee MDPI, Basel, Switzerland."
"Faweya O., Desai P.S., Higgs III C.F.","Towards an agent-based model to simulate osseointegration in powder-bed 3D printed implant-like structures",2022,"Journal of the Mechanical Behavior of Biomedical Materials","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120619907&doi=10.1016%2fj.jmbbm.2021.104915&partnerID=40&md5=098c0aabddbbf80901c8b0b9b8a0a791","Rice University, 6100 Main St, HoustonTX 77005, United States","Faweya, O., Rice University, 6100 Main St, HoustonTX 77005, United States; Desai, P.S., Rice University, 6100 Main St, HoustonTX 77005, United States; Higgs III, C.F., Rice University, 6100 Main St, HoustonTX 77005, United States","The orthopedic industry is still searching for an efficient way to replace bone loss due to surgical procedures such as arthroplasty and limb-sparing surgery. Additive manufacturing (AM) presents an opportunity to manufacture affordable patient-specific implants. Optimization of the implant–bone interface to maximize osseointegration (bone ingrowth) has not been appropriately addressed. Mechanobiological models, suited to predict mechanical adaptation of bone, cannot be used to predict osseointegration inside implants as the implant is not exposed to any mechanical loading until it is fully accepted by the host body. Biological models relying on partial differential equations based on continuum approximation are not well-suited to predict the discrete phenomenon of osseointegration. This study proposes an agent-based modeling (ABM) approach for representing the osseointegration process for orthopedic implants produced by powder-bed additive manufacturing processes. Agent-Based Modeling (ABM) is a cellular automata based discrete computing technique that uses rule-based mathematics derived from experimental studies to simulate evolutionary phenomena. In this paper, osseointegration inside a hexagonal closed packing of AM powder particles is modeled using ABM. Cellular agents such as pre-osteoblasts and osteoblasts are realistically modeled as cubic cells. The proposed model underpredicts osseointegration at early stages but predicts osseointegration at around 21 days with sufficient accuracy when compared to the in vitro test conducted by Xue et al. in 2007. © 2021"
